Shot number,Date,Classification,Club type,Club name,Carry,Total,Offline,Offline carry,Shot angle,Peak height,Hang time,Club speed,Ball speed,Smash factor,Push/pull,Launch angle,Landing angle,Backspin,Sidespin,Curve,Curve factor,Angle of attack,Face to target,Club path,Face to path,Face impact X,Face impact Y,Strokes gained,Club score,Target score,Launch score,Direction score,Shape score,Total score
,,,,,[yds],[yds],[yds],[yds],[°],[yds],[seconds],[mph],[mph],,[°],[°],[°],[rpm],[rpm],[yds],,[°],[°],[°],[°],[mm],[mm],,,,,,,
10,2026-08-18T22:30:24.000Z,Slight Push,Sand Wedge,Default,64.3,66.0,1.6,1.5,1.1,18.8,4.0,64.1,60.2,0.9,1.6 R,42.2,51.2,4993,0,0.3,2.0,-3.8,1.17° open,0.12° in-to-out,1.05° open,,,-0.2,6.7,1.7,0.2,10,6,24.5
11,2026-08-18T22:30:24.000Z,Top,Sand Wedge,Default,27.2,92.4,31.7,9.0,20.3,1.0,0.7,72.7,91.4,1.3,17.58 R,8.5,8.6,421,937 L,0.4,8.0,3.0,13.25° open,9.15° in-to-out,4.1° open,,,-0.5,5.3,0,0.4,0,0,5.7
12,2026-08-18T22:30:24.000Z,Top,Sand Wedge,Default,30.1,89.7,12.3,3.9,8.1,1.4,0.8,71.0,88.1,1.2,6.7 R,10.2,10.8,234,312 L,0.3,6.0,1.6,5.84° open,5.88° in-to-out,0.04° closed,,,0.2,7,0,1.1,6.9,0,15
13,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,73.0,74.0,6.8,6.7,6.9,22.6,4.4,68.9,66.2,1.0,3.59 R,42.2,51.8,5862,938 R,2.1,14.0,-3.3,5.62° open,2.5° out-to-in,8.12° open,,,-0.0,5.8,3.9,0.6,0,3,13.2
14,2026-08-18T22:30:24.000Z,Push Slice,Sand Wedge,Default,72.0,73.4,13.5,13.2,14.3,24.7,4.5,77.3,67.3,0.9,6.69 R,49.0,62.3,2191,625 R,4.7,33.0,-1.1,7.63° open,1.01° out-to-in,8.64° open,,,-0.1,4.6,2,0,2.2,0,8.8
15,2026-08-18T22:30:24.000Z,Straight Fade,Sand Wedge,Default,92.3,94.2,5.5,5.3,6.5,21.4,4.5,68.2,76.0,1.1,0.02 R,32.6,45.1,5562,1250 R,5.2,28.0,-2.4,2.13° open,5° out-to-in,7.13° open,,,1.1,3.5,9.6,4.3,2.2,6,25.6
16,2026-08-18T22:30:24.000Z,Push Slice,Sand Wedge,Default,122.4,136.2,17.9,15.1,11.7,13.2,4.2,77.0,97.8,1.3,2.48 R,13.6,30.4,5039,1250 R,9.8,40.0,-5.3,2.95° open,2.93° out-to-in,5.88° open,,,-0.7,4.1,1.8,0.2,0.6,0,6.7
17,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,69.7,70.8,11.0,10.8,11.6,20.9,4.1,68.0,62.8,0.9,6.07 R,43.9,52.0,3129,938 R,3.3,24.0,-3.6,7.56° open,0.19° out-to-in,7.75° open,,,-0.1,5.6,2.5,0,0,3,11.1
18,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,82.0,82.6,5.1,5.0,5.8,26.8,4.8,76.0,71.8,0.9,1.23 R,42.4,53.5,5794,938 R,3.3,20.0,-2.6,3.12° open,5.43° out-to-in,8.55° open,,,0.2,2.7,6.6,0.6,5.3,3,18.2
19,2026-08-18T22:30:24.000Z,Straight Fade,Sand Wedge,Default,70.6,71.5,1.6,1.5,2.4,22.4,4.4,67.2,64.4,1.0,0.06 R,43.4,53.5,4873,625 R,1.5,10.0,-3.3,1.57° open,4.94° out-to-in,6.51° open,,,-0.1,2.9,3.6,0.1,10,6,22.7
